rewardsProductPartnerId,rewardsGroup,pointsEarned,pointsPayerId,pointsNotAwardedReason,reward_id
,,922.1,,,325
,,800.0,,,326
,,0,,,327
,,1541.8,,,328
,,0,,,329
,,750.0,,,330
,,5.0,,,331
,,1000.0,,,332
,,5.0,,,333
,,755.0,,,334
,,350.0,,,335
,,125.0,,,336
,,50.0,,,337
,,5.0,,,338
,,50.0,,,339
,,50.0,,,340
,,250.0,,,341
,,5.0,,,342
,,150.0,,,343
,,5.0,,,344
,,5.0,,,345
,,755.0,,,346
,,574.4,,,347
,,50.6,,,348
,,5.0,,,349
,,5.0,,,350
,,5.0,,,351
,,50.0,,,352
,,5.0,,,353
,,300.0,,,354
,,5.0,,,355
,,300.0,,,356
,,750.0,,,357
,,5.0,,,358
,,5.0,,,359
,,5.0,,,360
,,2055.5,,,361
,,5850.0,,,362
,,250.0,,,363
,,5.0,,,364
,,5.0,,,365
,,5.0,,,366
,,4850.0,,,367
,,173.6,,,368
,,250.0,,,369
,,0,,,370
,,50.0,,,371
,,0,,,372
,,5.0,,,373
,,300.0,,,374
,,9850.0,,,375
,,100.0,,,376
,,5.0,,,377
,,150.0,,,378
,,5.0,,,379
,,5.0,,,380
,,50.9,,,381
,,250.0,,,382
,,5.0,,,383
,,0,,,384
,,150.0,,,385
,,350.0,,,386
,,2300.0,,,387
,,300.0,,,388
,,100.0,,,389
,,5,,,390
,,673.0,,,391
,,405.9,,,392
,,760.0,,,393
,,5.0,,,394
,,0,,,395
,,5.0,,,396
,,250.0,,,397
,,2143.3,,,398
,,300.0,,,399
,,300.0,,,400
,,1550.0,,,401
,,125.0,,,402
,,986.5,,,403
,,50.0,,,404
,,5.0,,,405
,,100.0,,,406
,,583.4,,,407
,,4480.5,,,408
,,0,,,409
,,3379.9,,,410
,,250.0,,,411
,,0,,,412
,,323.6,,,413
,,5.0,,,414
,,750.0,,,415
,,750.0,,,416
,,750.0,,,417
,,5.0,,,418
,,0,,,419
,,6257.3,,,420
,,750.0,,,421
,,2497.7,,,422
,,250.0,,,423
,,1178.7,,,424
,,500.0,,,425
,,1447.0,,,426
,,1729.5,,,427
,,1476.2,,,428
,,1708.0,,,429
,,1077.5,,,430
,,1135.1,,,431
,,1044.3,,,432
,,0,,,433
,,5.0,,,434
,,750.0,,,435
,,5.0,,,436
,,50.0,,,437
,,5.0,,,438
,,173.6,,,439
,,640.7,,,440
,,750.0,,,441
,,5.0,,,442
,,5.0,,,443
,,5.0,,,444
,,755.0,,,445
,,755.0,,,446
,,0,,,447
,,0,,,448
,,150.0,,,449
,,150.0,,,450
,,250.0,,,451
,,5.0,,,452
,,523.6,,,453
,,125.0,,,454
,,50.0,,,455
,,5.0,,,456
,,50.0,,,457
,,250.0,,,458
,,5.0,,,459
,,750.0,,,460
,,305.0,,,461
,,5.0,,,462
,,487.7,,,463
,,125.0,,,464
,,323.6,,,465
,,50.0,,,466
,,50.0,,,467
,,5.0,,,468
,,500.0,,,469
,,7137.2,,,470
,,5.0,,,471
,,5.0,,,472
,,5.0,,,473
,,1205.0,,,474
,,500.0,,,475
,,755.0,,,476
,,5.0,,,477
,,125.0,,,478
,,750.0,,,479
,,50.6,,,480
,,750.0,,,481
,,5.0,,,482
,,755.0,,,483
,,5.0,,,484
,,200.0,,,485
,,250.0,,,486
,,5.0,,,487
,,250.0,,,488
,,400.0,,,489
,,5.0,,,490
,,250.0,,,491
,,5.0,,,492
,,10199.8,,,493
,,850.0,,,494
,,4850.0,,,495
,,5.0,,,496
,,5.0,,,497
,,5850.0,,,498
,,0,,,499
,,25.0,,,500
,,5.0,,,501
,,750.0,,,502
,,760.0,,,503
,,400.0,,,504
,,250.0,,,505
,,94.6,,,506
,,1005.0,,,507
,,5.0,,,508
,,810.0,,,509
,,5.0,,,510
,,250.0,,,511
,,0,,,512
,,5.0,,,513
,,760.0,,,514
,,5.0,,,515
,,1850.0,,,516
,,150.0,,,517
,,750.0,,,518
,,150.0,,,519
,,840.0,,,520
,,840.0,,,521
,,840.0,,,522
,,840.0,,,523
,,840.0,,,524
,,1049.8,,,525
,,5.0,,,526
,,250.0,,,527
,,300.0,,,528
,,840.0,,,529
,,840.0,,,530
,,840.0,,,531
